deviceID,port,name,speed,duplex,negotiation,ip_address,ip_address_mask,untag,tagged_start,tagged_end,lacp_port
test,1,IF-1,,,,,,,92,92,
test,1,IF-1,,,,,,,401,401,
test,1,IF-1,,,,,,,402,402,
test,1,IF-1,,,,,,,403,403,
test,1,IF-1,,,,,,,404,404,
test,1,IF-1,,,,,,,405,405,
test,1,IF-1,,,,,,,406,406,
test,1,IF-1,,,,,,,407,407,
test,1,IF-1,,,,,,,409,409,
test,1,IF-1,,,,,,,410,410,
test,1,IF-1,,,,,,,411,411,
test,1,IF-1,,,,,,,412,412,
test,1,IF-1,,,,,,,413,413,
test,1,IF-1,,,,,,,414,414,
test,1,IF-1,,,,,,,416,416,
test,1,IF-1,,,,,,,417,417,
test,1,IF-1,,,,,,,418,418,
test,1,IF-1,,,,,,,419,419,
test,1,IF-1,,,,,,,420,420,
test,1,IF-1,,,,,,,421,421,
test,1,IF-1,,,,,,,422,422,
test,1,IF-1,,,,,,,423,423,
test,1,IF-1,,,,,,,424,424,
test,1,IF-1,,,,,,,427,427,
test,2,IF-2,,,,,,401,,,
test,3,IF-3,,,,,,402,,,
test,4,IF-4,,,,,,403,,,
test,5,IF-5,,,,,,404,,,
test,6,IF-6,,,,,,405,,,
test,7,IF-7,,,,,,406,,,
test,8,IF-8,100m,full,,,,407,,,
test,9,IF-9,100m,full,,,,423,,,
test,10,IF-10,,,,,,409,,,
test,11,IF-11,100m,full,,,,410,,,
test,12,IF-12,100m,full,,,,411,,,
test,13,IF-13,100m,full,,,,412,,,
test,14,IF-14,100m,full,,,,413,,,
test,15,IF-15,100m,full,,,,414,,,
test,16,IF-16,,,,,,417,,,
test,17,IF-17,,,,,,416,,,
test,18,IF-18,,,,,,418,,,
test,19,IF-19,100m,full,,,,419,,,
test,20,IF-20,100m,full,,,,420,,,
test,21,IF-21,100m,full,,,,421,,,
test,22,IF-22,,,,,,422,,,
test,23,IF-23,,,,,,92,,,
test,24,IF-24,,,,,,,401,401,
test,24,IF-24,,,,,,,402,402,
test,24,IF-24,,,,,,,403,403,
test,24,IF-24,,,,,,,404,404,
test,24,IF-24,,,,,,,405,405,
test,24,IF-24,,,,,,,406,406,
test,24,IF-24,,,,,,,407,407,
test,24,IF-24,,,,,,,409,409,
test,24,IF-24,,,,,,,410,410,
test,24,IF-24,,,,,,,411,411,
test,24,IF-24,,,,,,,412,412,
test,24,IF-24,,,,,,,413,413,
test,24,IF-24,,,,,,,414,414,
test,24,IF-24,,,,,,,416,416,
test,24,IF-24,,,,,,,417,417,
test,24,IF-24,,,,,,,418,418,
test,24,IF-24,,,,,,,419,419,
test,24,IF-24,,,,,,,420,420,
test,24,IF-24,,,,,,,421,421,
test,24,IF-24,,,,,,,422,422,
test,24,IF-24,,,,,,,423,423,
test,24,IF-24,,,,,,,424,424,
test,24,IF-24,,,,,,,427,427,
