deviceID,port,name,speed,duplex,negotiation,ip address,ip address mask,untag,tagged start,tagged end,lacp_port
l2-20240207,1,IF-1,,,,,,1,92,92,
l2-20240207,1,IF-1,,,,,,1,401,407,
l2-20240207,1,IF-1,,,,,,1,409,414,
l2-20240207,1,IF-1,,,,,,1,416,424,
l2-20240207,1,IF-1,,,,,,1,427,427,
l2-20240207,2,IF-2,,,,,,401,,,
l2-20240207,3,IF-3,,,,,,402,,,
l2-20240207,4,IF-4,,,,,,403,,,
l2-20240207,5,IF-5,,,,,,404,,,
l2-20240207,6,IF-6,,,,,,405,,,
l2-20240207,7,IF-7,,,,,,406,,,
l2-20240207,8,IF-8,100,full,,,,407,,,
l2-20240207,9,IF-9,100,full,,,,423,,,
l2-20240207,10,IF-10,,,,,,409,,,
l2-20240207,11,IF-11,100,full,,,,410,,,
l2-20240207,12,IF-12,100,full,,,,411,,,
l2-20240207,13,IF-13,100,full,,,,412,,,
l2-20240207,14,IF-14,100,full,,,,413,,,
l2-20240207,15,IF-15,100,full,,,,414,,,
l2-20240207,16,IF-16,,,,,,417,,,
l2-20240207,17,IF-17,,,,,,416,,,
l2-20240207,18,IF-18,,,,,,418,,,
l2-20240207,19,IF-19,100,full,,,,419,,,
l2-20240207,20,IF-20,100,full,,,,420,,,
l2-20240207,21,IF-21,100,full,,,,421,,,
l2-20240207,22,IF-22,,,,,,422,,,
l2-20240207,23,IF-23,,,,,,92,,,
l2-20240207,24,IF-24,,,,,,1,401,407,
l2-20240207,24,IF-24,,,,,,1,409,414,
l2-20240207,24,IF-24,,,,,,1,416,424,
l2-20240207,24,IF-24,,,,,,1,427,427,
l2-20240207,25,IF-25,100,full,,,,424,,,
l2-20240207,26,IF-26,100,full,,,,427,,,
l2-20240207,27,,,,,,,1,,,
l2-20240207,28,,,,,,,1,,,
l2-20240207,29,,,,,,,1,,,
l2-20240207,30,,,,,,,1,,,
l2-20240207,31,,,,,,,1,,,
l2-20240207,32,,,,,,,1,,,
l2-20240207,33,,,,,,,1,,,
l2-20240207,34,,,,,,,1,,,
l2-20240207,35,,,,,,,1,,,
l2-20240207,36,,,,,,,1,,,
l2-20240207,37,,,,,,,1,,,
l2-20240207,38,,,,,,,1,,,
l2-20240207,39,,,,,,,1,,,
l2-20240207,40,,,,,,,1,,,
l2-20240207,41,,,,,,,1,,,
l2-20240207,42,,,,,,,1,,,
l2-20240207,43,,,,,,,1,,,
l2-20240207,44,,,,,,,1,,,
l2-20240207,45,,,,,,,1,,,
l2-20240207,46,,,,,,,1,,,
l2-20240207,47,,,,,,,1,,,
l2-20240207,48,,,,,,,92,,,
l2-20240207,49,,,,,,,1,,,
l2-20240207,50,,,,,,,1,,,
l2-20240207,51,,,,,,,1,,,
l2-20240207,52,,,,,,,1,,,
