deviceID,port,name,speed,duplex,negotiation,ip address,ip address mask,untag,tagged start,tagged end,lacp_port
l2-20240213,1,IF-1,,,,,,1,92,92,
l2-20240213,1,IF-1,,,,,,1,401,407,
l2-20240213,1,IF-1,,,,,,1,409,414,
l2-20240213,1,IF-1,,,,,,1,416,424,
l2-20240213,1,IF-1,,,,,,1,427,427,
l2-20240213,2,IF-2,,,,,,401,,,
l2-20240213,3,IF-3,,,,,,402,,,
l2-20240213,4,IF-4,,,,,,403,,,
l2-20240213,5,IF-5,,,,,,404,,,
l2-20240213,6,IF-6,,,,,,405,,,
l2-20240213,7,IF-7,,,,,,406,,,
l2-20240213,8,IF-8,100,full,,,,407,,,
l2-20240213,9,IF-9,100,full,,,,423,,,
l2-20240213,10,IF-10,,,,,,409,,,
l2-20240213,11,IF-11,100,full,,,,410,,,
l2-20240213,12,IF-12,100,full,,,,411,,,
l2-20240213,13,IF-13,100,full,,,,412,,,
l2-20240213,14,IF-14,100,full,,,,413,,,
l2-20240213,15,IF-15,100,full,,,,414,,,
l2-20240213,16,IF-16,,,,,,417,,,
l2-20240213,17,IF-17,,,,,,416,,,
l2-20240213,18,IF-18,,,,,,418,,,
l2-20240213,19,IF-19,100,full,,,,419,,,
l2-20240213,20,IF-20,100,full,,,,420,,,
l2-20240213,21,IF-21,100,full,,,,421,,,
l2-20240213,22,IF-22,,,,,,422,,,
l2-20240213,23,IF-23,,,,,,92,,,
l2-20240213,24,IF-24,,,,,,1,401,407,
l2-20240213,24,IF-24,,,,,,1,409,414,
l2-20240213,24,IF-24,,,,,,1,416,424,
l2-20240213,24,IF-24,,,,,,1,427,427,
l2-20240213,25,IF-25,100,full,,,,424,,,
l2-20240213,26,IF-26,100,full,,,,427,,,
l2-20240213,27,,,,,,,1,,,
l2-20240213,28,,,,,,,1,,,
l2-20240213,29,,,,,,,1,,,
l2-20240213,30,,,,,,,1,,,
l2-20240213,31,,,,,,,1,,,
l2-20240213,32,,,,,,,1,,,
l2-20240213,33,,,,,,,1,,,
l2-20240213,34,,,,,,,1,,,
l2-20240213,35,,,,,,,1,,,
l2-20240213,36,,,,,,,1,,,
l2-20240213,37,,,,,,,1,,,
l2-20240213,38,,,,,,,1,,,
l2-20240213,39,,,,,,,1,,,
l2-20240213,40,,,,,,,1,,,
l2-20240213,41,,,,,,,1,,,
l2-20240213,42,,,,,,,1,,,
l2-20240213,43,,,,,,,1,,,
l2-20240213,44,,,,,,,1,,,
l2-20240213,45,,,,,,,1,,,
l2-20240213,46,,,,,,,1,,,
l2-20240213,47,,,,,,,1,,,
l2-20240213,48,,,,,,,92,,,
l2-20240213,49,,,,,,,1,,,
l2-20240213,50,,,,,,,1,,,
l2-20240213,51,,,,,,,1,,,
l2-20240213,52,,,,,,,1,,,
