VlanID,name,ip address,ip address mask
1,DEFAULT_VLAN,,
92,VLAN 92 seg,192.168.66.88,24
401,VLAN 401 seg,192.168.66.88,5
402,VLAN 402 seg,,
403,VLAN 403 seg,192.168.66.88,14
404,VLAN 404 seg,,
405,VLAN 405 seg,192.168.66.88,18
406,VLAN 406 seg,,
407,VLAN 407 seg,,
409,VLAN 409 seg,,
410,VLAN 410 seg,,
411,VLAN 411 seg,,
412,VLAN 412 seg,,
413,VLAN 413 seg,,
414,VLAN 414 seg,,
416,VLAN 416 seg,,
417,VLAN 417 seg,,
418,VLAN 418 seg,,
419,VLAN 419 seg,,
420,VLAN 420 seg,,
421,VLAN 421 seg,,
422,VLAN 422 seg,,
423,VLAN 423 seg,,
424,VLAN 424 seg,,
427,VLAN 427 seg,,
