deviceID,port,name,speed,duplex,negotiation,ip address,ip address mask,untag,tagged start,tagged end,lacp_port
20240228,1,IF-1,,,,,,,92,92,
20240228,1,IF-1,,,,,,,401,401,
20240228,1,IF-1,,,,,,,402,402,
20240228,1,IF-1,,,,,,,403,403,
20240228,1,IF-1,,,,,,,404,404,
20240228,1,IF-1,,,,,,,405,405,
20240228,1,IF-1,,,,,,,406,406,
20240228,1,IF-1,,,,,,,407,407,
20240228,1,IF-1,,,,,,,409,409,
20240228,1,IF-1,,,,,,,410,410,
20240228,1,IF-1,,,,,,,411,411,
20240228,1,IF-1,,,,,,,412,412,
20240228,1,IF-1,,,,,,,413,413,
20240228,1,IF-1,,,,,,,414,414,
20240228,1,IF-1,,,,,,,416,416,
20240228,1,IF-1,,,,,,,417,417,
20240228,1,IF-1,,,,,,,418,418,
20240228,1,IF-1,,,,,,,419,419,
20240228,1,IF-1,,,,,,,420,420,
20240228,1,IF-1,,,,,,,421,421,
20240228,1,IF-1,,,,,,,422,422,
20240228,1,IF-1,,,,,,,423,423,
20240228,1,IF-1,,,,,,,424,424,
20240228,1,IF-1,,,,,,,427,427,
20240228,2,IF-2,,,,10.5.17.194,21,401,,,
20240228,3,IF-3,,,,10.6.1.0,24,402,,,
20240228,4,IF-4,,,,10.6.1.0,24,403,,,
20240228,5,IF-5,,,,,,404,,,
20240228,6,IF-6,,,,,,405,,,
20240228,7,IF-7,,,,,,406,,,
20240228,8,IF-8,100,full,,,,407,,,
20240228,9,IF-9,100,full,,,,423,,,
20240228,10,IF-10,,,,,,409,,,
20240228,11,IF-11,100,full,,,,410,,,
20240228,12,IF-12,100,full,,,,411,,,
20240228,13,IF-13,100,full,,,,412,,,
20240228,14,IF-14,100,full,,,,413,,,
20240228,15,IF-15,100,full,,,,414,,,
20240228,16,IF-16,,,,,,417,,,
20240228,17,IF-17,,,,,,416,,,
20240228,18,IF-18,,,,,,418,,,
20240228,19,IF-19,100,full,,,,419,,,
20240228,20,IF-20,100,full,,,,420,,,
20240228,21,IF-21,100,full,,,,421,,,
20240228,22,IF-22,,,,,,422,,,
20240228,23,IF-23,,,,,,92,,,
20240228,24,IF-24,,,,,,,401,401,
20240228,24,IF-24,,,,,,,402,402,
20240228,24,IF-24,,,,,,,403,403,
20240228,24,IF-24,,,,,,,404,404,
20240228,24,IF-24,,,,,,,405,405,
20240228,24,IF-24,,,,,,,406,406,
20240228,24,IF-24,,,,,,,407,407,
20240228,24,IF-24,,,,,,,409,409,
20240228,24,IF-24,,,,,,,410,410,
20240228,24,IF-24,,,,,,,411,411,
20240228,24,IF-24,,,,,,,412,412,
20240228,24,IF-24,,,,,,,413,413,
20240228,24,IF-24,,,,,,,414,414,
20240228,24,IF-24,,,,,,,416,416,
20240228,24,IF-24,,,,,,,417,417,
20240228,24,IF-24,,,,,,,418,418,
20240228,24,IF-24,,,,,,,419,419,
20240228,24,IF-24,,,,,,,420,420,
20240228,24,IF-24,,,,,,,421,421,
20240228,24,IF-24,,,,,,,422,422,
20240228,24,IF-24,,,,,,,423,423,
20240228,24,IF-24,,,,,,,424,424,
20240228,24,IF-24,,,,,,,427,427,
